ASVID	taxonomy
ASV381	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter_g4;unknown
ASV203	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter_g4;unknown
ASV332	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;unknown
ASV236	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;unknown
ASV245	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;unknown
ASV83	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;unknown
ASV483	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;unknown
ASV414	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;unknown
ASV194	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;unknown
ASV119	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;unknown
ASV101	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus;unknown
ASV281	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Paralkalibacillus;unknown
ASV382	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;unknown
ASV243	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;unknown
ASV486	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;unknown
ASV405	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia;unknown
ASV318	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia;unknown
ASV20	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae;Paenarthrobacter;unknown
ASV550	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;AC160630_f;PAC002482_g;unknown
ASV380	Bacteria;Acidobacteria;PAC002280_c;PAC002280_o;PAC002280_f;PAC002280_g;unknown
ASV447	Bacteria;Acidobacteria;PAC002280_c;PAC002280_o;PAC002280_f;PAC002280_g;unknown
ASV544	Bacteria;Acidobacteria;PAC001852_c;PAC001852_o;PAC001852_f;PAC002038_g;unknown
ASV507	Bacteria;Acidobacteria;Solibacteres;Solibacterales;Bryobacteraceae;PAC002019_g;unknown
ASV597	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;PAC001976_g;unknown
ASV552	Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae;PAC001932_g;unknown
ASV508	Bacteria;Acidobacteria;Vicinamibacter_c;Vicinamibacter_o;Vicinamibacter_f;PAC001846_g;unknown
ASV366	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;PAC000695_f;PAC000695_g;unknown
ASV166	Bacteria;Cyanobacteria;PAC002560_c;PAC000393_o;PAC000616_f;PAC000616_g;unknown
ASV437	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;PAC000323_g;unknown
ASV183	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;PAC000244_g;unknown
ASV204	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC000186_g;unknown
ASV564	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;PAC000128_g;unknown
