taxonomy	ASV_ID	X1092	X1094	X1097	X1103	X1117	X1193	X1201	X1245	X1246	X1247	X1254	X1255	X1256	X1264	X1266	X1271	X1272	X1277	X1296	X1303	X1315	X1319	X1324	X1326	X1396	X1398	X1415	X1428	X1430	X1435	X1482	X1492	X1505	X1506	X1512	X1523	X1536	X1543	X1548	X1549	X1552	X1555	X1558	X1559	X1560	X1578	X1580	X1581	X1602	X1626	X1632	X1637	X1641	X1651	X1669	X1674	X1682	X1712	X1714	X1715	X1717	X1719	X1736	X1765	X1770	X1781	X1834	X1838	X1839	X1851	X1896	X2037	X2086	X2088	X2091	X2092	X2213	X2223	X277	X328	X480	X535	X536
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Cellulomonadaceae;Cellulomonas"	ASV261	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Cellulomonadaceae;Cellulomonas"	ASV378	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Demequinaceae;Demequina"	ASV67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Dermabacteraceae;Brachybacterium"	ASV43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Dermabacteraceae;Brachybacterium"	ASV96	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	748	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	116	48	0	108	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Dermabacteraceae;Brachybacterium"	ASV111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	7	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Dermabacteraceae;Brachybacterium"	ASV138	0	0	0	0	40	0	0	4	0	0	0	0	0	0	0	0	0	0	14	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	414	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Dermacoccaceae;Luteipulveratus"	ASV546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Intrasporangiaceae"	ASV493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Intrasporangiaceae;Janibacter"	ASV322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Microbacteriaceae"	ASV449	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Microbacteriaceae;Leucobacter"	ASV63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4164	32	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Microbacteriaceae;Microbacterium"	ASV82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2053	16	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae"	ASV84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae"	ASV145	0	0	0	0	223	0	0	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae;Arthrobacter"	ASV136	0	0	0	0	622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	41	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae;Arthrobacter"	ASV155	0	0	0	0	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae;Arthrobacter"	ASV295	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae;Arthrobacter"	ASV333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Micrococcaceae;Citricoccus"	ASV207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0
